Day,Temperatura,Humedad,Presion,Lluvia,mm
01-jun-24,29,46.2,1019.2,,
02-jun-24,28,48.5,1019.9,,
03-jun-24,29,48.8,1019.6,,
04-jun-24,27,59,1018.5,,
05-jun-24,28,51.4,1018.1,,
06-jun-24,28,48.3,1017.5,,
07-jun-24,28,56.9,1018.3,,
08-jun-24,25,72.8,1021,,
09-jun-24,26,59.7,1020.5,,
10-jun-24,27, ,1018,,
11-jun-24,29,,1016.9,,
12-jun-24,29,,1018.3,,
13-jun-24,27,,1019.3,,
14-jun-24,27,,1018.4,,
15-jun-24,26,,1016.8,,
16-jun-24,26,,1014.9,,
17-jun-24,27,,1015,,
18-jun-24,26,,1014,,
19-jun-24,26,,1012.1,,
20-jun-24,23,,1016.1,,
21-jun-24,22,,1019.5,,
22-jun-24,22,,1019.8,,
23-jun-24,22,,1020.2,,
24-jun-24,21,,1021.8,,
25-jun-24,20,,1021.7,,
26-jun-24,21,,1019.3,,
27-jun-24,24,,1019.3,,
28-jun-24,22,,1018.7,,
29-jun-24,21,,1019.7,,
30-jun-24,23,,1021.6,,
01-sep-24,21,86,1021.5,1,9.3
02-sep-24,22,82.3,1020.6,1,6.8
03-sep-24,21,82,1020.4,1,7.3
04-sep-24,22,83,1021.2,1,7.2
05-sep-24,22,83.5,1021.3,1,6.6
06-sep-24,21,83.8,1020.8,1,10.6
07-sep-24,21,84.8,1019.6,1,7.1
08-sep-24,20,79.8,1019.3,1,2.5
09-sep-24,21,69,1019.5,0,0.2
10-sep-24,22,68.8,1018.3,0,0.7
11-sep-24,22,70.8,1017.2,1,4.6
12-sep-24,22,70.8,1017.9,1,3.3
13-sep-24,21,70.8,1020.5,0,0.5
14-sep-24,23,75.3,1020.8,1,1.7
15-sep-24,23,75.7,1020.4,1,2.2
16-sep-24,23,75,1020.5,1,1.4
17-sep-24,23,75.5,1020.4,1,1.9
18-sep-24,23,78.8,1019.6,1,2.8
19-sep-24,23,83,1019.5,1,4.5
20-sep-24,23,82.3,1019.1,1,7
21-sep-24,24,78,1018.4,1,11.3
22-sep-24,23,74,1017.7,1,15.5
23-sep-24,22,74,1017.1,1,5.1
24-sep-24,23,72,1016.7,0,0.1
25-sep-24,22,69.8,1016.2,0,0.6
26-sep-24,22,62.3,1015.9,0,0.5
27-sep-24,19,64.3,1016.3,0,0.3
28-sep-24,19,76,1017.7,1,1.3
29-sep-24,20,69.8,1019.9,1,2.5
30-sep-24,21,67.5,1020.2,1,6.1
01-oct-24,,,,,
