Day,Temperatura,Humedad,Presion,Lluvia,mm
1,21.0,86.0,1021.5,1,9.3
2,22.0,82.3,1020.6,1,6.8
3,21.0,82.0,1020.4,1,7.3
4,22.0,83.0,1021.2,1,7.2
5,22.0,83.5,1021.3,1,6.6
6,21.0,83.8,1020.8,1,10.6
7,21.0,84.8,1019.6,1,7.1
8,20.0,79.8,1019.3,1,2.5
9,21.0,69.0,1019.5,0,0.2
10,22.0,68.8,1018.3,0,0.7
11,22.0,70.8,1017.2,1,4.6
12,22.0,70.8,1017.9,1,3.3
13,21.0,70.8,1020.5,0,0.5
14,23.0,75.3,1020.8,1,1.7
15,23.0,75.7,1020.4,1,2.2
16,23.0,75.0,1020.5,1,1.4
17,23.0,75.5,1020.4,1,1.9
18,23.0,78.8,1019.6,1,2.8
19,23.0,83.0,1019.5,1,4.5
20,23.0,82.3,1019.1,1,7.0
21,24.0,78.0,1018.4,1,11.3
22,23.0,74.0,1017.7,1,15.5
23,22.0,74.0,1017.1,1,5.1
24,23.0,72.0,1016.7,0,0.1
25,22.0,69.8,1016.2,0,0.6
26,22.0,62.3,1015.9,0,0.5
27,19.0,64.3,1016.3,0,0.3
28,19.0,76.0,1017.7,1,1.3
29,20.0,69.8,1019.9,1,2.5
30,21.0,67.5,1020.2,1,6.1
1,,,,0,
31,22.0,75.0,1015.0,0,0.0
